,DIST,Name
253,,NORTH  DISTRICT
254,,WEST DISTRICT
255,,SOUTH DISTRICT
256,,EAST DISTRICT
332,,BONGAIGAON
343,,UTTAR DINAJPUR
410,,RAYAGADA
530,,AURANGABAD ###
554,,WARANGAL
556,,WARANGAL (UR)
656,ITANAGAR,
657,KRA  DAADI,
658,KHONSA,
659,SIANG,
660,KARBI ANGLONG WEST,
661,SOUTH SALMARA MANKAGHAR,
662,HOJAI,
663,CHARADEO,
664,SONGAIGAON,
665,BISWANATH,
666,MAJULI,
667,BALODABAZAR,
668,BEMETRA,
669,SURAJPUR,
670,MUNGELI,
671,GARIABANDI,
672,BALOD,
673,SUKMA,
674,KONDAGAON,
675,MAHISAGAR,
676,CHHOTA UDAIPUR,
677,BOTAD,
678,ARAVALLI,
679,DEVBHOOMI DWARKA,
680,GIR SOMNATH,
681,MORBI,
682,DADRI,
683,DATA NOT AVAILABLE,
684,BIJAPUR / VIJAYAPURA,
685,AGAR MALWA,
686,RAYGAD,
687,PALGHAR,
688,TENGNOUPAL,
689,PHERZAWL,
690,KAMJONG,
691,JIRIBAM,
692,NONEY,
693,KAKCHING,
694,KANGPOKPI,
695,SOUTH WEST KHASI HILLS,
696,SOUTH WEST GARO HILLS,
697,NORTH GARO HILLS,
698,SOUTH EAST,
699,SHAHDARA,
700,RAYAGARH,
701,PATHANKOT,
702,FAZILKA,
703,JAGITYAL,
704,KAMAREDDY,
705,MACHERIAL,
706,PEDDAPALLE,
707,RAJANNA SIRCILLA,
708,MAHABUBABAD,
709,JANGAON,
710,SURYAPET,
711,VIKARABAD,
712,SANGAREDDY,
713,YADADRI BHUVANAGIRI,
714,KOMARAM BHEEM,
715,SIDDIPET,
716,JAYASHANKAR,
717,NAGARKURNOOL,
718,BHADRADRI KOTHAGUDEM,
719,WARANGAL (Ur),
720,NIRMAL,
721,MEDCHAL,
722,WANAPARTHY,
723,JOGULAMBA GADWAL,
724,KHOWAI,
725,SIPAHIJALA,
726,UNOKOTI,
727,GOMATI,
728,PANCHSHIL NAGAR,
729,BHIMNAGAR,
730,AMETHI,
731,PRABUDHNAGAR,
732,ALIPURDUAR,
733,WEST DINAJPUR,
734,JHARGRAM,
735,KALIMPONG,
